manuscript_location,citation_key,source_file,verified_bibliographic_fields,claim_supported,verification_status
manuscript/manuscript.md:85,bloomer2009,manuscript/references.bib:bloomer2009,"{""doi"": ""10.1029/2009GL037308"", ""key"": ""bloomer2009"", ""title"": ""Observed relationships of ozone air pollution with temperature and emissions"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2009""}",[@bloomer2009; @rasmussen2012; @pusede2015]. These relationships are not expected,verified_repository_bibliography
manuscript/manuscript.md:85,pusede2015,manuscript/references.bib:pusede2015,"{""doi"": ""10.1021/cr5006815"", ""key"": ""pusede2015"", ""title"": ""Temperature and Recent Trends in the Chemistry of Continental Surface Ozone"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2015""}",[@bloomer2009; @rasmussen2012; @pusede2015]. These relationships are not expected,verified_repository_bibliography
manuscript/manuscript.md:85,rasmussen2012,manuscript/references.bib:rasmussen2012,"{""doi"": ""10.1016/j.atmosenv.2011.11.021"", ""key"": ""rasmussen2012"", ""title"": ""Surface ozone-temperature relationships in the eastern US: A monthly climatology for evaluating chemistry-climate models"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2012""}",[@bloomer2009; @rasmussen2012; @pusede2015]. These relationships are not expected,verified_repository_bibliography
manuscript/manuscript.md:88,bao2025,manuscript/references.bib:bao2025,"{""doi"": ""10.1038/s44407-025-00023-8"", ""key"": ""bao2025"", ""title"": ""Comparative analysis of the impact of rising temperatures on ozone levels in China and the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,chang2025,manuscript/references.bib:chang2025,"{""doi"": ""10.5194/acp-25-5101-2025"", ""key"": ""chang2025"", ""title"": ""Surface ozone trend variability across the United States and the impact of heat waves (1990--2023)"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,li2025,manuscript/references.bib:li2025,"{""doi"": ""10.5194/acp-25-2725-2025"", ""key"": ""li2025"", ""title"": ""Anthropogenic emission controls reduce summertime ozone--temperature sensitivity in the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""pages"", ""doi""], ""year"": ""2025""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,ninneman2021,manuscript/references.bib:ninneman2021,"{""doi"": ""10.3390/atmos12101235"", ""key"": ""ninneman2021"", ""title"": ""Observed Relationship between Ozone and Temperature for Urban Nonattainment Areas in the United States"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2021""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:88,nolte2021,manuscript/references.bib:nolte2021,"{""doi"": ""10.1080/10962247.2021.1970048"", ""key"": ""nolte2021"", ""title"": ""Regional Temperature-Ozone Relationships Across the U.S. Under Multiple Climate and Emissions Scenarios"", ""type"": ""article"", ""verified_fields"": [""author"", ""title"", ""journal"", ""year"", ""volume"", ""number"", ""pages"", ""doi""], ""year"": ""2021""}",trends [@ninneman2021; @nolte2021; @li2025; @chang2025; @bao2025]. The present,verified_repository_bibliography
manuscript/manuscript.md:104,noaa_us_climate_regions,manuscript/references.bib:noaa_us_climate_regions,"{""key"": ""noaa_us_climate_regions"", ""title"": ""U.S. Climate Regions"", ""type"": ""online"", ""url"": ""https://www.ncei.noaa.gov/access/monitoring/reference-maps/us-climate-regions"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}","[@noaa_us_climate_regions], followed by equal-site national aggregation. The represented",verified_repository_bibliography
manuscript/manuscript.md:153,epa_airdata,manuscript/references.bib:epa_airdata,"{""key"": ""epa_airdata"", ""title"": ""Pre-Generated Data Files"", ""type"": ""online"", ""url"": ""https://aqs.epa.gov/aqsweb/airdata/download_files.html"", ""verified_fields"": [""author"", ""title"", ""url"", ""urldate""], ""year"": null}",[@epa_formats; @epa_airdata]. Maximum daily 8-hour average ozone (MDA8) values,verified_repository_bibliography
