region,quantity,point_estimate,percentile_2_5,percentile_97_5,site_count,units,point_source_path,point_source_record,interval_source_path,interval_source_record
national,temperature_distribution_component,0.07427538832694225,0.04313603383350699,0.10407862508043902,884,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
national,response_component,0.3892144597312246,0.2817142305117871,0.5052367241466533,884,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='response_component']"
national,total_change,0.46348984805816684,0.35218962465254045,0.578610027221344,884,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='total_change']"
Northeast,temperature_distribution_component,-0.06922029661773976,-0.14319441017630172,0.01007182592137585,158,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='temperature_distribution_component']"
Northeast,response_component,-0.10430101173552586,-0.29289995609737574,0.08436137468956932,158,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='response_component']"
Northeast,total_change,-0.17352130835326562,-0.36001005385843887,0.015532322006219852,158,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='total_change']"
Northern Rockies and Plains,temperature_distribution_component,0.37681349843667533,0.27378132193763316,0.4842005315315191,34,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='temperature_distribution_component']"
Northern Rockies and Plains,response_component,1.1913272933855197,0.6327560337664486,1.779691104427733,34,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='response_component']"
Northern Rockies and Plains,total_change,1.568140791822195,0.9784748710291048,2.170650130318274,34,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='total_change']"
Northwest,temperature_distribution_component,0.5773782017250753,0.3271741134088898,0.7888153730651084,21,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='temperature_distribution_component']"
Northwest,response_component,0.6721511374682834,-0.32481625601173975,1.6942409458695042,21,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='response_component']"
Northwest,total_change,1.2495293391933586,0.3151666727413513,2.173922741754575,21,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='total_change']"
Ohio Valley,temperature_distribution_component,-0.14954088248681785,-0.22246685097765315,-0.07180413455939183,133,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Ohio Valley'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Ohio Valley',quantity='temperature_distribution_component']"
