specification_id,specification_label,quantity,point_estimate,percentile_2_5,percentile_97_5,site_count,fit_rows,units,point_source_path,point_source_record,interval_source_path,interval_source_record
primary,Primary (2020 excluded),temperature_distribution_component,0.07427538832694225,0.04313603383350699,0.10407862508043902,884,2396553,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
primary,Primary (2020 excluded),response_component,0.3892144597312246,0.2817142305117871,0.5052367241466533,884,2396553,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='response_component']"
primary,Primary (2020 excluded),total_change,0.46348984805816684,0.35218962465254045,0.578610027221344,884,2396553,ppb,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='total_change']"
s1a_2020_early,S1-A (2020 assigned early),temperature_distribution_component,0.11019757201158242,0.08351643344428758,0.13768646691522787,952,2788753,ppb,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].temperature_distribution_component,outputs/bootstrap/sensitivity_2020/s1a/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
s1a_2020_early,S1-A (2020 assigned early),response_component,0.7189034855234446,0.6203561727759791,0.8191815960290593,952,2788753,ppb,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].response_component,outputs/bootstrap/sensitivity_2020/s1a/interval_summary.json,"record[region='national',quantity='response_component']"
s1a_2020_early,S1-A (2020 assigned early),total_change,0.829101057535027,0.7284423484991167,0.9262666877293462,952,2788753,ppb,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].total_change,outputs/bootstrap/sensitivity_2020/s1a/interval_summary.json,"record[region='national',quantity='total_change']"
s1b_2020_later,S1-B (2020 assigned later),temperature_distribution_component,0.04936400417083675,0.020526856406148132,0.07570625984475506,936,2773587,ppb,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].temperature_distribution_component,outputs/bootstrap/sensitivity_2020/s1b/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
s1b_2020_later,S1-B (2020 assigned later),response_component,0.012868666427753084,-0.09726475955508214,0.1197077163949535,936,2773587,ppb,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].response_component,outputs/bootstrap/sensitivity_2020/s1b/interval_summary.json,"record[region='national',quantity='response_component']"
s1b_2020_later,S1-B (2020 assigned later),total_change,0.062232670598589834,-0.04961646726235038,0.16440281966901152,936,2773587,ppb,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].total_change,outputs/bootstrap/sensitivity_2020/s1b/interval_summary.json,"record[region='national',quantity='total_change']"
s1c_continuous_time,S1-C (continuous-time response),temperature_distribution_component,0.0749598939314744,0.0434880610765032,0.10350686835813484,884,2638658,ppb,outputs/analysis/sensitivity_2020_s1c_real/endpoint_point_estimates.json,record[region='national'].temperature_distribution_component,outputs/bootstrap/sensitivity_2020/s1c/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
s1c_continuous_time,S1-C (continuous-time response),response_component,0.749564180726626,0.5782635451946386,0.9137631157090345,884,2638658,ppb,outputs/analysis/sensitivity_2020_s1c_real/endpoint_point_estimates.json,record[region='national'].response_component,outputs/bootstrap/sensitivity_2020/s1c/interval_summary.json,"record[region='national',quantity='response_component']"
s1c_continuous_time,S1-C (continuous-time response),total_change,0.8245240746581004,0.656634562229657,0.9888229140656635,884,2638658,ppb,outputs/analysis/sensitivity_2020_s1c_real/endpoint_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_2020/s1c/interval_summary.json,"record[region='national',quantity='total_change']"
network_breadth,Broader eligible network,temperature_distribution_component,0.08610474424501646,0.05662999642496942,0.11179283630165297,1116,2835704,ppb,outputs/analysis/sensitivity_network_breadth/point_estimates.json,record[region='national'].temperature_distribution_component,outputs/bootstrap/sensitivity_network_breadth/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
