panel,region,point_estimate,percentile_2_5,percentile_97_5,units,direction,point_source_path,point_source_record,interval_source_path,interval_source_record
continuous_total,national,0.46348984805816684,0.35218962465254045,0.578610027221344,ppb,positive,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='total_change']"
descriptive_threshold_change,national,-0.036539208130892224,-0.1145009545226557,0.034435985999002904,percentage points,negative,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='national'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='national']
continuous_total,Northeast,-0.17352130835326562,-0.36001005385843887,0.015532322006219852,ppb,negative,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='total_change']"
descriptive_threshold_change,Northeast,-0.42516433166394735,-0.5231980231866952,-0.33712147591589037,percentage points,negative,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Northeast'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Northeast']
continuous_total,Northern Rockies and Plains,1.568140791822195,0.9784748710291048,2.170650130318274,ppb,positive,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='total_change']"
descriptive_threshold_change,Northern Rockies and Plains,0.42225984414582296,0.2790932126797288,0.5716328273092642,percentage points,positive,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Northern Rockies and Plains'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Northern Rockies and Plains']
continuous_total,Northwest,1.2495293391933586,0.3151666727413513,2.173922741754575,ppb,positive,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='total_change']"
descriptive_threshold_change,Northwest,-0.29204080741509825,-0.5842667046615162,0.04927252081027808,percentage points,negative,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Northwest'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Northwest']
continuous_total,Ohio Valley,0.321700810808764,0.1088688418911385,0.5434570030911907,ppb,positive,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Ohio Valley'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Ohio Valley',quantity='total_change']"
descriptive_threshold_change,Ohio Valley,0.11802921508837547,0.026085458486364548,0.21429424021825605,percentage points,positive,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Ohio Valley'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Ohio Valley']
continuous_total,South,1.9221192304041779,1.6801011593232313,2.1783736690456164,ppb,positive,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='South'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='South',quantity='total_change']"
descriptive_threshold_change,South,0.4693808492956331,0.3475227962243406,0.5979744707279803,percentage points,positive,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='South'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='South']
continuous_total,Southeast,-0.33909231011936214,-0.5692758863862402,-0.11198706002689465,ppb,negative,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Southeast'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Southeast',quantity='total_change']"
