specification_id,specification_label,family,definition,population_role,region,quantity,point_estimate,percentile_2_5,percentile_97_5,interval_relation_to_zero,successful_replicates,failure_count,units,site_count,early_rows,later_rows,fit_rows,standardization_rows,fit_population_sha256,standardization_population_sha256,component_relation,difference_from_primary,absolute_difference_from_primary,sign_agreement_with_primary,interval_relation_agreement_with_primary,component_relation_agreement_with_primary,review_flag_absolute_difference_ge_0_5_ppb,display_point,display_interval,point_source_path,point_source_record,interval_source_path,interval_source_record
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,A,42.0665380948341,41.81805046603009,42.31095379808192,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+42.07,"[41.82, 42.31]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].A,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='A']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,B,42.137271244133196,41.88791061853119,42.37521116821456,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+42.14,"[41.89, 42.38]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].B,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='B']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,C,42.45221031553748,42.192786598138575,42.68471590583611,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+42.45,"[42.19, 42.68]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].C,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='C']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,D,42.53002794289227,42.27184912486103,42.76545531371357,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+42.53,"[42.27, 42.77]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].D,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='D']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,temperature_distribution_component,0.07427538832694225,0.04313603383350699,0.10407862508043902,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+0.07,"[0.04, 0.10]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,response_component,0.3892144597312246,0.2817142305117871,0.5052367241466533,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+0.39,"[0.28, 0.51]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='response_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,national,total_change,0.46348984805816684,0.35218962465254045,0.578610027221344,entirely_above_zero,1000,0,ppb,884,1192343,1204210,2396553,2396553,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+0.46,"[0.35, 0.58]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='total_change']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,A,41.40944184506638,40.91788526712532,41.890862065126925,entirely_above_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+41.41,"[40.92, 41.89]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].A,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='A']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,B,41.32677159356352,40.82229288097529,41.80631271405254,entirely_above_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+41.33,"[40.82, 41.81]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].B,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='B']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,C,41.291690878445735,40.85439144471078,41.732927013630686,entirely_above_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+41.29,"[40.85, 41.73]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].C,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='C']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,D,41.23592053671312,40.780038311670076,41.6713207053453,entirely_above_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+41.24,"[40.78, 41.67]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].D,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='D']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,temperature_distribution_component,-0.06922029661773976,-0.14319441017630172,0.01007182592137585,includes_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,-0.07,"[-0.14, 0.01]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='temperature_distribution_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,response_component,-0.10430101173552586,-0.29289995609737574,0.08436137468956932,includes_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,-0.10,"[-0.29, 0.08]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='response_component']"
