specification_id,specification_label,family,definition,population_role,region,quantity,point_estimate,percentile_2_5,percentile_97_5,interval_relation_to_zero,successful_replicates,failure_count,units,site_count,early_rows,later_rows,fit_rows,standardization_rows,fit_population_sha256,standardization_population_sha256,component_relation,difference_from_primary,absolute_difference_from_primary,sign_agreement_with_primary,interval_relation_agreement_with_primary,component_relation_agreement_with_primary,review_flag_absolute_difference_ge_0_5_ppb,display_point,display_interval,point_source_path,point_source_record,interval_source_path,interval_source_record
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,A,42.01840522653659,41.776676142864986,42.27964304184623,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.048132868297507514,0.048132868297507514,True,True,True,False,+42.02,"[41.78, 42.28]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].A,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='A']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,B,42.0856521977936,41.84497277984784,42.34081708597423,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.0516190463395958,0.0516190463395958,True,True,True,False,+42.09,"[41.84, 42.34]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].B,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='B']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,C,42.41415971836642,42.180254800934215,42.66716565829978,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.03805059717105763,0.03805059717105763,True,True,True,False,+42.41,"[42.18, 42.67]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].C,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='C']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,D,42.48516231955824,42.259163463519805,42.72974346251392,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.044865623334025884,0.044865623334025884,True,True,True,False,+42.49,"[42.26, 42.73]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].D,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='D']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,temperature_distribution_component,0.06912478622441398,0.03869143586117065,0.10350598606138846,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.005150602102528268,0.005150602102528268,True,True,True,False,+0.07,"[0.04, 0.10]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].temperature_distribution_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='temperature_distribution_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,response_component,0.3976323067972345,0.29847376352173605,0.5029334601922395,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,0.008417847066009898,0.008417847066009898,True,True,True,False,+0.40,"[0.30, 0.50]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].response_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='response_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,national,total_change,0.4667570930216485,0.3613577801515449,0.573246511923327,entirely_above_zero,1000,0,ppb,875,1176533,1188185,2364718,2364718,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,0.0032672449634816303,0.0032672449634816303,True,True,True,False,+0.47,"[0.36, 0.57]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='total_change']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,A,41.409236691313396,40.936421358753044,41.895529769777326,entirely_above_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.00020515375298657545,0.00020515375298657545,True,True,True,False,+41.41,"[40.94, 41.90]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].A,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='A']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,B,41.33821271907326,40.86631948851762,41.81651298044231,entirely_above_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,0.011441125509740857,0.011441125509740857,True,True,True,False,+41.34,"[40.87, 41.82]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].B,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='B']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,C,41.28767988811187,40.86636353543363,41.74389089618075,entirely_above_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.004010990333867426,0.004010990333867426,True,True,True,False,+41.29,"[40.87, 41.74]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].C,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='C']"
