specification,population,estimand_units,point_estimate,percentile_2_5,percentile_97_5,difference_from_primary,point_display,percentile_interval_display,difference_from_primary_display,sign_agreement,interval_relation_agreement,component_relation_agreement,formal_difference_inference,point_source_path,point_source_record,interval_source_path,interval_source_record
Primary (2020 excluded),884 sites; 2396553 fit rows,continuous total change (ppb),0.46348984805816684,0.35218962465254045,0.578610027221344,0.0,+0.463,"[0.352, 0.579]",+0.000,True,True,True,not performed,outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='national',quantity='total_change']"
S1-A (2020 assigned early),952 sites; 2788753 fit rows,continuous total change (ppb),0.829101057535027,0.7284423484991167,0.9262666877293462,0.3656112094768602,+0.829,"[0.728, 0.926]",+0.366,True,True,True,not performed,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].total_change,outputs/bootstrap/sensitivity_2020/s1a/interval_summary.json,"record[region='national',quantity='total_change']"
S1-B (2020 assigned later),936 sites; 2773587 fit rows,continuous total change (ppb),0.062232670598589834,-0.04961646726235038,0.16440281966901152,-0.401257177459577,+0.062,"[-0.050, 0.164]",-0.401,True,False,True,not performed,outputs/analysis/sensitivity_2020/point_estimates.csv,record[region='national'].total_change,outputs/bootstrap/sensitivity_2020/s1b/interval_summary.json,"record[region='national',quantity='total_change']"
S1-C (continuous-time response),884 sites; 2638658 fit rows,continuous total change (ppb),0.8245240746581004,0.656634562229657,0.9888229140656635,0.36103422659993356,+0.825,"[0.657, 0.989]",+0.361,True,True,True,not performed,outputs/analysis/sensitivity_2020_s1c_real/endpoint_point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_2020/s1c/interval_summary.json,"record[region='national',quantity='total_change']"
Broader eligible network,1116 sites; 2835704 fit rows,continuous total change (ppb),0.44431012318631247,0.3332724992567332,0.5486415875597471,-0.019179724871854376,+0.444,"[0.333, 0.549]",-0.019,True,True,True,not performed,outputs/analysis/sensitivity_network_breadth/point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_network_breadth/interval_summary.json,"record[region='national',quantity='total_change']"
Three-df TMAX spline,884 sites; 2396553 fit rows,continuous total change (ppb),0.4630378405446507,0.3519330173329237,0.577883717937917,-0.00045200751351615054,+0.463,"[0.352, 0.578]",-0.000,True,True,True,not performed,outputs/analysis/sensitivity_temperature_spline_3df_real/point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_temperature_spline_3df/interval_summary.json,"record[region='national',quantity='total_change']"
S4-A (definitive no-event provenance),875 sites; 2364718 fit rows,continuous total change (ppb),0.4667570930216485,0.3613577801515449,0.573246511923327,0.0032672449634816303,+0.467,"[0.361, 0.573]",+0.003,True,True,True,not performed,outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='national',quantity='total_change']"
S4-B (stringent 2025 annual quality),884 sites; 2318654 fit rows,continuous total change (ppb),0.4709589288011742,0.3593418630145681,0.5859543428826585,0.007469080743007339,+0.471,"[0.359, 0.586]",+0.007,True,True,True,not performed,outputs/analysis/sensitivity_event_2025_quality_real/s4b/point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4b/interval_summary.json,"record[region='national',quantity='total_change']"
S4-C (event and 2025 quality combined),875 sites; 2287108 fit rows,continuous total change (ppb),0.47344281819446365,0.3637728511072236,0.5811593685628992,0.009952970136296813,+0.473,"[0.364, 0.581]",+0.010,True,True,True,not performed,outputs/analysis/sensitivity_event_2025_quality_real/s4c/point_estimates.json,record[region='national'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4c/interval_summary.json,"record[region='national',quantity='total_change']"
Descriptive elevated-ozone analysis,884 sites; 2396553 rows,later-minus-early change (percentage points),-0.036539208130892224,-0.1145009545226557,0.034435985999002904,,-0.037,"[-0.115, 0.034]",not comparable,differing direction,not directly comparable,not a decomposition,not performed,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='national'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='national']
