region,site_count,early_equal_site_percent,early_percentile_2_5_percent,early_percentile_97_5_percent,later_equal_site_percent,later_percentile_2_5_percent,later_percentile_97_5_percent,change_percentage_points,change_percentile_2_5_percentage_points,change_percentile_97_5_percentage_points,early_equal_site_percent_95pi,later_equal_site_percent_95pi,change_percentage_points_95pi,direction_relation_to_continuous_total,point_source_path,point_source_record,interval_source_path,interval_source_record
national,884,1.4188395608421949,1.2419128619993862,1.5998688520096096,1.3823003527113025,1.2031275520480227,1.5584814328645713,-0.036539208130892224,-0.1145009545226557,0.034435985999002904,"1.42 [1.24, 1.60]","1.38 [1.20, 1.56]","-0.04 [-0.11, 0.03]",differing,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='national'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='national']
Northeast,158,1.1565603583207893,0.9774313684439113,1.3473915116593262,0.7313960266568419,0.602518026563689,0.8784130350893893,-0.42516433166394735,-0.5231980231866952,-0.33712147591589037,"1.16 [0.98, 1.35]","0.73 [0.60, 0.88]","-0.43 [-0.52, -0.34]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Northeast'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Northeast']
Northern Rockies and Plains,34,0.13129392791903727,0.060097101661397,0.21528498675414498,0.5535537720648602,0.4276332710063745,0.6996454444884662,0.42225984414582296,0.2790932126797288,0.5716328273092642,"0.13 [0.06, 0.22]","0.55 [0.43, 0.70]","+0.42 [0.28, 0.57]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Northern Rockies and Plains'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Northern Rockies and Plains']
Northwest,21,0.8978474030142563,0.5669911057201868,1.2900242589753,0.605806595599158,0.25123633666184647,1.0101141856829559,-0.29204080741509825,-0.5842667046615162,0.04927252081027808,"0.90 [0.57, 1.29]","0.61 [0.25, 1.01]","-0.29 [-0.58, 0.05]",differing,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Northwest'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Northwest']
Ohio Valley,133,0.706141218619214,0.5923740600105153,0.8462210696802747,0.8241704337075894,0.7080605143992083,0.9588379942411849,0.11802921508837547,0.026085458486364548,0.21429424021825605,"0.71 [0.59, 0.85]","0.82 [0.71, 0.96]","+0.12 [0.03, 0.21]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Ohio Valley'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Ohio Valley']
South,128,0.7626838865404267,0.6173987255212728,0.9203608833005715,1.23206473583606,1.0035249329133986,1.4962344930372882,0.4693808492956331,0.3475227962243406,0.5979744707279803,"0.76 [0.62, 0.92]","1.23 [1.00, 1.50]","+0.47 [0.35, 0.60]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='South'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='South']
Southeast,136,0.28255756420072503,0.21303211916045903,0.3720348130414659,0.1719798846440261,0.12790141365963098,0.225272016933984,-0.1105776795566989,-0.15966925818319738,-0.06818038465529937,"0.28 [0.21, 0.37]","0.17 [0.13, 0.23]","-0.11 [-0.16, -0.07]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Southeast'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Southeast']
Southwest,96,1.319455965313951,1.0554326394276148,1.5885943276842347,2.0184793457070946,1.6536806259922456,2.399611733078231,0.6990233803931437,0.44598709635313394,0.941446082097325,"1.32 [1.06, 1.59]","2.02 [1.65, 2.40]","+0.70 [0.45, 0.94]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Southwest'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Southwest']
Upper Midwest,59,0.8511829079157294,0.6055220748592516,1.139818917785875,1.2809327932846988,1.0271902060791154,1.572357166277831,0.4297498853689694,0.27482208076144327,0.5915120946799075,"0.85 [0.61, 1.14]","1.28 [1.03, 1.57]","+0.43 [0.27, 0.59]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='Upper Midwest'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='Upper Midwest']
West,119,5.3894380977754,4.1683376321078764,6.76326140160263,4.32599077860363,3.108954377741839,5.603215669408675,-1.0634473191717717,-1.559656905447775,-0.6372055846406038,"5.39 [4.17, 6.76]","4.33 [3.11, 5.60]","-1.06 [-1.56, -0.64]",concordant,outputs/analysis/sensitivity_outcome_residual_robustness_real/equal_site_point_summary.json,primary_equal_site_periods[scope='West'],outputs/bootstrap/sensitivity_outcome_residual_robustness/interval_summary.json,records[scope='West']
