region,site_count,early_rows,later_rows,component_relation,units,A_point,A_percentile_2_5,A_percentile_97_5,A_interval_relation,A_display,B_point,B_percentile_2_5,B_percentile_97_5,B_interval_relation,B_display,C_point,C_percentile_2_5,C_percentile_97_5,C_interval_relation,C_display,D_point,D_percentile_2_5,D_percentile_97_5,D_interval_relation,D_display,temperature_distribution_component_point,temperature_distribution_component_percentile_2_5,temperature_distribution_component_percentile_97_5,temperature_distribution_component_interval_relation,temperature_distribution_component_display,response_component_point,response_component_percentile_2_5,response_component_percentile_97_5,response_component_interval_relation,response_component_display,total_change_point,total_change_percentile_2_5,total_change_percentile_97_5,total_change_interval_relation,total_change_display,point_source_path,interval_source_path
national,884,1192343,1204210,reinforce,ppb,42.0665380948341,41.81805046603009,42.31095379808192,entirely_above_zero,"+42.07 [41.82, 42.31]",42.137271244133196,41.88791061853119,42.37521116821456,entirely_above_zero,"+42.14 [41.89, 42.38]",42.45221031553748,42.192786598138575,42.68471590583611,entirely_above_zero,"+42.45 [42.19, 42.68]",42.53002794289227,42.27184912486103,42.76545531371357,entirely_above_zero,"+42.53 [42.27, 42.77]",0.07427538832694225,0.04313603383350699,0.10407862508043902,entirely_above_zero,"+0.07 [0.04, 0.10]",0.3892144597312246,0.2817142305117871,0.5052367241466533,entirely_above_zero,"+0.39 [0.28, 0.51]",0.46348984805816684,0.35218962465254045,0.578610027221344,entirely_above_zero,"+0.46 [0.35, 0.58]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Northeast,158,181450,180924,reinforce,ppb,41.40944184506638,40.91788526712532,41.890862065126925,entirely_above_zero,"+41.41 [40.92, 41.89]",41.32677159356352,40.82229288097529,41.80631271405254,entirely_above_zero,"+41.33 [40.82, 41.81]",41.291690878445735,40.85439144471078,41.732927013630686,entirely_above_zero,"+41.29 [40.85, 41.73]",41.23592053671312,40.780038311670076,41.6713207053453,entirely_above_zero,"+41.24 [40.78, 41.67]",-0.06922029661773976,-0.14319441017630172,0.01007182592137585,includes_zero,"-0.07 [-0.14, 0.01]",-0.10430101173552586,-0.29289995609737574,0.08436137468956932,includes_zero,"-0.10 [-0.29, 0.08]",-0.17352130835326562,-0.36001005385843887,0.015532322006219852,includes_zero,"-0.17 [-0.36, 0.02]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Northern Rockies and Plains,34,45163,44754,reinforce,ppb,43.511513214752014,41.950155155983985,45.10576483920632,entirely_above_zero,"+43.51 [41.95, 45.11]",43.88690534547497,42.37746351757331,45.41990491893767,entirely_above_zero,"+43.89 [42.38, 45.42]",44.701419140423816,43.255047951353475,46.210302387190254,entirely_above_zero,"+44.70 [43.26, 46.21]",45.07965400657421,43.69388870136984,46.50478352619297,entirely_above_zero,"+45.08 [43.69, 46.50]",0.37681349843667533,0.27378132193763316,0.4842005315315191,entirely_above_zero,"+0.38 [0.27, 0.48]",1.1913272933855197,0.6327560337664486,1.779691104427733,entirely_above_zero,"+1.19 [0.63, 1.78]",1.568140791822195,0.9784748710291048,2.170650130318274,entirely_above_zero,"+1.57 [0.98, 2.17]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Northwest,21,19147,18673,reinforce,ppb,37.8755740096831,35.43995361794838,40.266536812485505,entirely_above_zero,"+37.88 [35.44, 40.27]",38.481389815364935,35.9300621914687,40.887300258229004,entirely_above_zero,"+38.48 [35.93, 40.89]",38.57616275110814,35.970539220480106,41.327348107945376,entirely_above_zero,"+38.58 [35.97, 41.33]",39.12510334887646,36.384069302783224,41.87246523259209,entirely_above_zero,"+39.13 [36.38, 41.87]",0.5773782017250753,0.3271741134088898,0.7888153730651084,entirely_above_zero,"+0.58 [0.33, 0.79]",0.6721511374682834,-0.32481625601173975,1.6942409458695042,includes_zero,"+0.67 [-0.32, 1.69]",1.2495293391933586,0.3151666727413513,2.173922741754575,entirely_above_zero,"+1.25 [0.32, 2.17]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Ohio Valley,133,156120,158259,oppose,ppb,42.59929792618116,42.21077580443296,42.95502516823094,entirely_above_zero,"+42.60 [42.21, 42.96]",42.434005304473125,42.05353978927918,42.78005340555216,entirely_above_zero,"+42.43 [42.05, 42.78]",43.054787880255525,42.73610225142596,43.377711659901735,entirely_above_zero,"+43.05 [42.74, 43.38]",42.92099873698992,42.61469694214502,43.21932246094608,entirely_above_zero,"+42.92 [42.61, 43.22]",-0.14954088248681785,-0.22246685097765315,-0.07180413455939183,entirely_below_zero,"-0.15 [-0.22, -0.07]",0.47124169329558185,0.26341829355348995,0.6831517759415328,entirely_above_zero,"+0.47 [0.26, 0.68]",0.321700810808764,0.1088688418911385,0.5434570030911907,entirely_above_zero,"+0.32 [0.11, 0.54]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
South,128,189085,186408,reinforce,ppb,39.155079642678224,38.545719803585705,39.73895291813975,entirely_above_zero,"+39.16 [38.55, 39.74]",39.781227336275656,39.16377218170351,40.38171339341521,entirely_above_zero,"+39.78 [39.16, 40.38]",40.4881415831147,39.810114619340105,41.16958532223314,entirely_above_zero,"+40.49 [39.81, 41.17]",41.0771988730824,40.38937179611804,41.78115463461846,entirely_above_zero,"+41.08 [40.39, 41.78]",0.6076024917825684,0.5319738561750162,0.681852297328614,entirely_above_zero,"+0.61 [0.53, 0.68]",1.3145167386216094,1.0816007946290254,1.5526451074233256,entirely_above_zero,"+1.31 [1.08, 1.55]",1.9221192304041779,1.6801011593232313,2.1783736690456164,entirely_above_zero,"+1.92 [1.68, 2.18]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Southeast,136,179797,189042,reinforce,ppb,40.34628219542777,39.79442331957469,40.9322573263935,entirely_above_zero,"+40.35 [39.79, 40.93]",40.195773116380934,39.70396157922374,40.72487265166396,entirely_above_zero,"+40.20 [39.70, 40.72]",40.15495233649636,39.70584315681065,40.65641852928973,entirely_above_zero,"+40.15 [39.71, 40.66]",40.00718988530841,39.60692831061719,40.4576732758185,entirely_above_zero,"+40.01 [39.61, 40.46]",-0.1491357651173928,-0.24302157483024703,-0.06993621591868789,entirely_below_zero,"-0.15 [-0.24, -0.07]",-0.18995654500196935,-0.3777593517536239,0.019159954372138258,includes_zero,"-0.19 [-0.38, 0.02]",-0.33909231011936214,-0.5692758863862402,-0.11198706002689465,entirely_below_zero,"-0.34 [-0.57, -0.11]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Southwest,96,159995,163126,reinforce,ppb,46.3124949695266,45.763697294185725,46.81261180504662,entirely_above_zero,"+46.31 [45.76, 46.81]",46.41609414339126,45.86483793948233,46.904435482572744,entirely_above_zero,"+46.42 [45.86, 46.90]",47.609468078218434,47.168629163657805,48.03372225731845,entirely_above_zero,"+47.61 [47.17, 48.03]",47.73600292631739,47.28241235312824,48.16139554989187,entirely_above_zero,"+47.74 [47.28, 48.16]",0.11506701098181082,0.07654038534443962,0.15631999989963496,entirely_above_zero,"+0.12 [0.08, 0.16]",1.3084409458089823,0.9472101540433343,1.7190326796089284,entirely_above_zero,"+1.31 [0.95, 1.72]",1.4235079567907931,1.0509944676875187,1.8271036650791912,entirely_above_zero,"+1.42 [1.05, 1.83]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Upper Midwest,59,63348,64291,reinforce,ppb,39.68104193732864,38.880692427155985,40.44047647566293,entirely_above_zero,"+39.68 [38.88, 40.44]",40.03562368676422,39.24331026371001,40.77518800844094,entirely_above_zero,"+40.04 [39.24, 40.78]",40.84781546076838,40.097701144240105,41.55864325621701,entirely_above_zero,"+40.85 [40.10, 41.56]",41.222972459524144,40.50247215857905,41.898122092375516,entirely_above_zero,"+41.22 [40.50, 41.90]",0.3648693740956723,0.2416835332800753,0.4973904728860305,entirely_above_zero,"+0.36 [0.24, 0.50]",1.1770611480998348,0.8977649173211024,1.4720283331199888,entirely_above_zero,"+1.18 [0.90, 1.47]",1.541930522195507,1.2622805324648878,1.8429591888640429,entirely_above_zero,"+1.54 [1.26, 1.84]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
West,119,198238,198733,reinforce,ppb,45.5253543899825,44.43735239314832,46.65040920666798,entirely_above_zero,"+45.53 [44.44, 46.65]",45.370269886648984,44.31603824846536,46.51517047344893,entirely_above_zero,"+45.37 [44.32, 46.52]",44.73400517161806,43.53006868578273,45.88368304440504,entirely_above_zero,"+44.73 [43.53, 45.88]",44.57789984833295,43.38628813650843,45.726676254806364,entirely_above_zero,"+44.58 [43.39, 45.73]",-0.15559491330931507,-0.25662973473201933,-0.05201011607672471,entirely_below_zero,"-0.16 [-0.26, -0.05]",-0.7918596283402408,-1.3215455997518135,-0.2935332543720687,entirely_below_zero,"-0.79 [-1.32, -0.29]",-0.9474545416495559,-1.517366683679344,-0.427727227116657,entirely_below_zero,"-0.95 [-1.52, -0.43]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
